Fecha;Ciudad;Temperatura Máxima (C);Temperatura Mínima (C);Precipitación (mm);Nubosidad (%)
2020/09/23;Valencia;23,595;12,815;0;10  
2020/09/24;Valencia;24,915;13,695;0;10  
2020/09/25;Valencia;25,685;12,925;0;20  
2020/09/26;Valencia;24,695;13,035;0,8;40  
2020/09/27;Valencia;23,595;14,245;1,6;70  
2020/09/28;Valencia;19,195;12,375;0,8;90  
2020/09/29;Valencia;15,785;9,735;0,4;20  
2020/09/30;Valencia;15,015;6,655;;10  
2020/09/31;Valencia;15,015;6,655;;0  
2020/10/01;Valencia;16,115;6,765;;0  
2020/10/02;Valencia;18,315;6,215;;0  
2020/10/03;Valencia;20,515;10,395;;0  
2020/10/04;Valencia;20,955;9,955;;0  
2020/10/05;Valencia;24,475;10,835;0,5;30  
2020/10/06;Valencia;24,695;13,145;0;20  
2020/10/07;Valencia;23,925;14,135;0;0  
2020/10/08;Valencia;24,695;13,915;0;0  
2020/10/09;Valencia;24,695;13,805;0;0  
2020/10/10;Valencia;23,045;14,575;0;0  
